S/N,NAME,GENDER,PARTY,VOTES,ELECTED,STATE,ZONE
1,EMEKA UWAKOLAM,MALE,A,43,,ABIA,ABIA
2,UBANI VINCENT ANTHONY,MALE,AAC,254,,ABIA,ABIA
3,OPARA ALPHONSIUS OBINNA,MALE,ACD,166,,ABIA,ABIA
4,OBINNA KELENNA,MALE,ADC,333,,ABIA,ABIA
5,OKEY OKORO UDO,MALE,ADP,522,,ABIA,ABIA
6,IGWO NNANNA OKPAN,MALE,AGA,293,,ABIA,ABIA
7,ONUOHA UKO IGWE,MALE,AGAP,247,,ABIA,ABIA
8,ULUNWA UTOKANNANDU MORGAN,MALE,ANP,289,,ABIA,ABIA
9,OGAH UCHECHUKWU SAMSON,MALE,APC,"99,574",,ABIA,ABIA
10,ALEX OTTI,MALE,APGA,"64,366",,ABIA,ABIA
11,UMEH CHARLES OKEZI,MALE,APP,138,,ABIA,ABIA
12,CHIJIOKE OWANTA,MALE,ASD,35,,ABIA,ABIA
13,MICHAEL IMOJO NDU,MALE,AUN,29,,ABIA,ABIA
,CHINWUBA QUEEN EDITH,,,,,ABIA,ABIA
14,,MALE,CAP,21,,ABIA,ABIA
,ASIKARALINOUN,,,,,ABIA,ABIA
15,OBASI HEAVENS UGOCHUKWU,MALE,DA,14,,ABIA,ABIA
16,PAUL CHINEDU EMMANUEL,MALE,FRESH,22,,ABIA,ABIA
17,ANNYALEWACHI NWAOZURU,MALE,GPN,33,,ABIA,ABIA
18,GILBERT CHIKEZIE CHRIS,MALE,ID,38,,ABIA,ABIA
19,CHARLES OKECHUKWU OKEREKE,MALE,JMPP,40,,ABIA,ABIA
20,BENSON CHIBUNNA ONYEKACHI,MALE,KP,102,,ABIA,ABIA
21,IGARA CEEKAY KALU,MALE,LP,520,,ABIA,ABIA
22,UDEAGHA ROSE UZOARU,FEMALE,MPN,124,,ABIA,ABIA
23,MADU ANTHONY CHUKWUONYE,MALE,PDC,442,,ABIA,ABIA
,,,,,Declared,ABIA,ABIA
24,OKEZIE VICTOR IKPEAZU,MALE,PDP,"261,127",,ABIA,ABIA
,,,,,Elected,ABIA,ABIA
25,OKORONKWO FORTUNES PAUL,MALE,PPC,"1,044",,ABIA,ABIA
26,CHUKWUDI NNABUGWU,MALE,PPN,624,,ABIA,ABIA
27,AWA EZEKIEL ANYA,MALE,PT,53,,ABIA,ABIA
28,AHAIWE UDOCHUKWU ELVIS,MALE,RP,89,,ABIA,ABIA
29,HON. (MRS) BLESSING NWAGBA,FEMALE,SDP,"2,191",,ABIA,ABIA
30,FRANCIS ONUGU UKWU,MALE,UPP,151,,ABIA,ABIA
31,NKORO JOSEPH NGOZI,MALE,YPP,100,,ABIA,ABIA
32,ORJI KINGSLEY,MALE,ZLP,291,,ABIA,ABIA
1,HASSAN DANTSOHO,MALE,A,239,,ADAMAWA,ADAMAWA
2,AMED ALIYU AHMED,MALE,AA,93,,ADAMAWA,ADAMAWA
3,SAID LAWAN UBA A.,MALE,AAC,"1,098",,ADAMAWA,ADAMAWA
4,DANIEL SHAGA ISMAILA,MALE,ABP,159,,ADAMAWA,ADAMAWA
5,SHUAIBU BILKISU CHINDO,MALE,ACD,"1,942",,ADAMAWA,ADAMAWA
6,NYAKO ABDUL -AZIZ MURTALA,MALE,ADC,"113,237",,ADAMAWA,ADAMAWA
7,MUSA GARKIDA DAVID,MALE,AGA,"1,169",,ADAMAWA,ADAMAWA
8,ABEL BEHORA,MALE,ANN,"2,545",,ADAMAWA,ADAMAWA
9,UMAR BELLO JADA,MALE,ANP,934,,ADAMAWA,ADAMAWA
10,MOHAMMED UMAR JIBRILLA,MALE,APC,"336,386",,ADAMAWA,ADAMAWA
11,SALIHU BIRJI BANJIRAM,MALE,APM,629,,ADAMAWA,ADAMAWA
12,AUDU RUKAYYA SHELLENG,FEMALE,APP,180,,ADAMAWA,ADAMAWA
13,BALDEINO ELIZABETH ISAH,FEMALE,CAP,86,,ADAMAWA,ADAMAWA
14,AHMED HASSAN,MALE,DA,101,,ADAMAWA,ADAMAWA
15,DANJUMA MUHAMMED MUSA,MALE,FJP,69,,ADAMAWA,ADAMAWA
16,NYAKO NURUDDEEN HAMMANADAMA,MALE,GPN,246,,ADAMAWA,ADAMAWA
17,BADAU ISSAC SA'ADU,MALE,JMPP,117,,ADAMAWA,ADAMAWA
18,BAPPARI UMARU,MALE,KP,172,,ADAMAWA,ADAMAWA
19,FRANK SIMEON KOSHIHULA,MALE,MPN,263,,ADAMAWA,ADAMAWA
20,ABDULLAHI USMAN,MALE,NCP,183,,ADAMAWA,ADAMAWA
21,UMARU AHMADU,MALE,PDP,"376,552",ELECTED,ADAMAWA,ADAMAWA
22,NAAMA BULAMA,FEMALE,PPA,"1,399",,ADAMAWA,ADAMAWA
23,ELI CLARKSON GAJERE,MALE,PPC,836,,ADAMAWA,ADAMAWA
24,LAMI MUSA,FEMALE,PPN,"2,256",,ADAMAWA,ADAMAWA
25,MAIGANA MUSA ISMAILA,MALE,PT,202,,ADAMAWA,ADAMAWA
26,STEVE MIDALAH N,MALE,RBNP,186,,ADAMAWA,ADAMAWA
