S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE
1,EHICHANYA OBINNAYA,M,A,40,,ABIA-CENTRAL,ABIA
2,NWOKO QUINET IFUNANYACHUKWU,F,ACD,76,,ABIA-CENTRAL,ABIA
3,IKECHUKWU EVEREST EGEONU,M,ADC,297,,ABIA-CENTRAL,ABIA
4,NWAOGU NKECHI JUSTINA WOKOCHA,F,APC,"29,860",,ABIA-CENTRAL,ABIA
5,AJAEGBU CHIDI ONYEUKWU,M,APGA,"19,534",,ABIA-CENTRAL,ABIA
6,UGOCHUKWU DENNAR,M,DA,68,,ABIA-CENTRAL,ABIA
7,UGWA IFEYINWA ADANNE,F,FJP,62,,ABIA-CENTRAL,ABIA
8,OCHUAJA STEPHEN,M,GPN,14,,ABIA-CENTRAL,ABIA
9,OKOCHUKWU UWAEME,M,JMPP,50,,ABIA-CENTRAL,ABIA
10,UGELE UCHECHUKWU EMMANUEL,M,LP,365,,ABIA-CENTRAL,ABIA
11,ORJI THEODORE AHAMFULE,M,PDP,"55,461",Declared Elected,ABIA-CENTRAL,ABIA
12,OVUFE CHIGEKWU,M,PT,114,,ABIA-CENTRAL,ABIA
13,NWOSU CHIDI,M,SDP,753,,ABIA-CENTRAL,ABIA
14,NWOSU OZOEMELAM KENNETH,M,UPP,98,,ABIA-CENTRAL,ABIA
15,ESONU DANIEL,M,ZLP,29,,ABIA-CENTRAL,ABIA
1,EZUMA ODILICHUKWU,MALE,ADC,170,,ABIA-NORTH,ABIA
2,UKWA ORJI UKIWE EMEKA,MALE,ANP,93,,ABIA-NORTH,ABIA
3,KALU ORJI UZOR,MALE,APC,"31,201",Declared Elected,ABIA-NORTH,ABIA
4,ONUOHA BOURDEX DAVID OGBA,MALE,APGA,"11,410",,ABIA-NORTH,ABIA
5,MR OBINNA ELENDU,MALE,DA,46,,ABIA-NORTH,ABIA
6,AGUKU JOHN A.,MALE,ID,15,,ABIA-NORTH,ABIA
7,EGBEBU KALU NMAJU,MALE,LP,130,,ABIA-NORTH,ABIA
8,OHUABUNWA ARUKWE MAO,MALE,PDP,"20,801",,ABIA-NORTH,ABIA
9,JAMES JUSTICE MADUA,MALE,PPC,76,,ABIA-NORTH,ABIA
10,OBIAMA NWAFOR MBA,MALE,PT,38,,ABIA-NORTH,ABIA
11,NWEKE CHUKWUDI,MALE,RBNP,37,,ABIA-NORTH,ABIA
12,ENYIOMA AMBROSE UCHENNA,MALE,RP,27,,ABIA-NORTH,ABIA
13,IGBOKWE CHINYERE,MALE,SDP,429,,ABIA-NORTH,ABIA
14,UDE CHARLES,MALE,UDP,5,,ABIA-NORTH,ABIA
15,NWAKWUO VICTOR UGICHUKWU,MALE,UPP,37,,ABIA-NORTH,ABIA
16,CHIDIEBERE NWANNOH,MALE,ZLP,21,,ABIA-NORTH,ABIA
1,OGBUGO CHINEDU OLEDI UWA,F,ADC,295,,ABIA-SOUTH,ABIA
2,UCHEAGWU IJEOMA MORGAN,F,ANP,57,,ABIA-SOUTH,ABIA
3,WABARA INYANAGBO MARCUS,M,APC,"9,419",,ABIA-SOUTH,ABIA
