stage,club,country,year
Final,Bayern,GER,2012
Final,Chelsea,ENG,2012
Semi-finals,Barcelona,ESP,2012
Semi-finals,Real Madrid,ESP,2012
Quarter-finals,APOEL,CYP,2012
Quarter-finals,Benfica,POR,2012
Quarter-finals,Marseille,FRA,2012
Quarter-finals,Milan,ITA,2012
Round of 16,Arsenal,ENG,2012
Round of 16,Basel,SUI,2012
Round of 16,CSKA Moskva,RUS,2012
Round of 16,Inter,ITA,2012
Round of 16,Leverkusen,GER,2012
Round of 16,Lyon,FRA,2012
Round of 16,Napoli,ITA,2012
Round of 16,Zenit,RUS,2012
Group stage,Ajax,NED,2012
Group stage,BATE,BLR,2012
Group stage,Dinamo Zagreb,CRO,2012
Group stage,Dortmund,GER,2012
Group stage,Genk,BEL,2012
Group stage,LOSC,FRA,2012
Group stage,Man City,ENG,2012
Group stage,Man United,ENG,2012
Group stage,Olympiacos,GRE,2012
Group stage,Oţelul,ROU,2012
Group stage,Plzeň,CZE,2012
Group stage,Porto,POR,2012
Group stage,Shakhtar Donetsk,UKR,2012
Group stage,Trabzonspor,TUR,2012
Group stage,Valencia,ESP,2012
Group stage,Villarreal,ESP,2012
Play-offs,Copenhagen,DEN,2012
Play-offs,M. Haifa,ISR,2012
Play-offs,Malmö,SWE,2012
Play-offs,OB,DEN,2012
Play-offs,Rubin,RUS,2012
Play-offs,Sturm,AUT,2012
Play-offs,Twente,NED,2012
Play-offs,Udinese,ITA,2012
Play-offs,Wisła Kraków,POL,2012
Play-offs,Zürich,SUI,2012
Third qualifying round,Dynamo Kyiv,UKR,2012
Third qualifying round,Ekranas,LTU,2012
Third qualifying round,HJK,FIN,2012
Third qualifying round,Litex,BUL,2012
Third qualifying round,Maribor,SVN,2012
Third qualifying round,Panathinaikos,GRE,2012
Third qualifying round,Partizan,SRB,2012
Third qualifying round,Rangers,SCO,2012
Third qualifying round,Rosenborg,NOR,2012
Third qualifying round,Shamrock Rovers,IRL,2012
Third qualifying round,Slovan Bratislava,SVK,2012
Third qualifying round,Standard Liège,BEL,2012
Third qualifying round,Vaslui,ROU,2012
Third qualifying round,Zestafoni,GEO,2012
Second qualifying round,Bangor,WAL,2012
Second qualifying round,Borac,BIH,2012
Second qualifying round,Breidablik,ISL,2012
Second qualifying round,Dacia,MDA,2012
Second qualifying round,Diddeleng,LUX,2012
Second qualifying round,Fehérvár,HUN,2012
Second qualifying round,Flora,EST,2012
Second qualifying round,HB,FRO,2012
Second qualifying round,Linfield,NIR,2012
Second qualifying round,Mogren,MNE,2012
Second qualifying round,Neftçi,AZE,2012
Second qualifying round,Pyunik,ARM,2012
Second qualifying round,Shkëndija,MKD,2012
Second qualifying round,Skënderbeu,ALB,2012
Second qualifying round,Skonto,LVA,2012
Second qualifying round,Tobol,KAZ,2012
Second qualifying round,Valletta,MLT,2012
First qualifying round,FC Santa Coloma,AND,2012
First qualifying round,Tre Fiori,SMR,2012
Final,Bayern,GER,2013
Final,Dortmund,GER,2013
Semi-finals,Barcelona,ESP,2013
