,stage,club,country,year
0,Final,Athletic Club,ESP,2012
1,Final,Atlético,ESP,2012
2,Semi-finals,Sporting CP,POR,2012
3,Semi-finals,Valencia,ESP,2012
4,Quarter-finals,AZ Alkmaar,NED,2012
5,Quarter-finals,Hannover,GER,2012
6,Quarter-finals,Metalist,UKR,2012
7,Quarter-finals,Schalke,GER,2012
8,Round of 16,Beşiktaş,TUR,2012
9,Round of 16,Man City,ENG,2012
10,Round of 16,Man United,ENG,2012
11,Round of 16,Olympiacos,GRE,2012
12,Round of 16,PSV,NED,2012
13,Round of 16,Standard Liège,BEL,2012
14,Round of 16,Twente,NED,2012
15,Round of 16,Udinese,ITA,2012
16,Round of 32,Ajax,NED,2012
17,Round of 32,Anderlecht,BEL,2012
18,Round of 32,Braga,POR,2012
19,Round of 32,Club Brugge,BEL,2012
20,Round of 32,FCSB,ROU,2012
21,Round of 32,Lazio,ITA,2012
22,Round of 32,Legia,POL,2012
23,Round of 32,Lokomotiv Moskva,RUS,2012
24,Round of 32,PAOK,GRE,2012
25,Round of 32,Plzeň,CZE,2012
26,Round of 32,Porto,POR,2012
27,Round of 32,Rubin,RUS,2012
28,Round of 32,Salzburg,AUT,2012
29,Round of 32,Stoke,ENG,2012
30,Round of 32,Trabzonspor,TUR,2012
31,Round of 32,Wisła Kraków,POL,2012
32,Group stage,AEK,GRE,2012
33,Group stage,AEK Larnaca,CYP,2012
34,Group stage,Austria Wien,AUT,2012
35,Group stage,Birmingham,ENG,2012
36,Group stage,Celtic,SCO,2012
37,Group stage,Copenhagen,DEN,2012
38,Group stage,Dynamo Kyiv,UKR,2012
39,Group stage,Fulham,ENG,2012
40,Group stage,H. Tel-Aviv,ISR,2012
41,Group stage,M. Haifa,ISR,2012
42,Group stage,M. Tel-Aviv,ISR,2012
43,Group stage,Malmö,SWE,2012
44,Group stage,Maribor,SVN,2012
45,Group stage,OB,DEN,2012
46,Group stage,Paris,FRA,2012
47,Group stage,Rapid Bucureşti,ROU,2012
48,Group stage,Rennes,FRA,2012
49,Group stage,Shamrock Rovers,IRL,2012
50,Group stage,Slovan Bratislava,SVK,2012
51,Group stage,Sturm,AUT,2012
52,Group stage,Tottenham,ENG,2012
53,Group stage,Vaslui,ROU,2012
54,Group stage,Vorskla,UKR,2012
55,Group stage,Zürich,SUI,2012
56,Play-offs,Aalesund,NOR,2012
57,Play-offs,Alania,RUS,2012
58,Play-offs,Bursaspor,TUR,2012
59,Play-offs,Crvena zvezda,SRB,2012
60,Play-offs,CSKA Sofia,BUL,2012
61,Play-offs,Differdange,LUX,2012
62,Play-offs,Dinamo Bucureşti,ROU,2012
63,Play-offs,Dinamo Tbilisi,GEO,2012
64,Play-offs,Dnipro,UKR,2012
65,Play-offs,Ekranas,LTU,2012
66,Play-offs,Gaz Metan,ROU,2012
67,Play-offs,Hearts,SCO,2012
68,Play-offs,Helsingborg,SWE,2012
69,Play-offs,HJK,FIN,2012
70,Play-offs,Karpaty,UKR,2012
71,Play-offs,Litex,BUL,2012
72,Play-offs,Nacional,POR,2012
73,Play-offs,Nordsjælland,DEN,2012
74,Play-offs,Omonoia,CYP,2012
75,Play-offs,Panathinaikos,GRE,2012
76,Play-offs,Partizan,SRB,2012
77,Play-offs,Rabotnicki,MKD,2012
78,Play-offs,Rangers,SCO,2012
79,Play-offs,Ried,AUT,2012
80,Play-offs,Roma,ITA,2012
81,Play-offs,Rosenborg,NOR,2012
82,Play-offs,Sevilla,ESP,2012
83,Play-offs,Sion,SUI,2012
84,Play-offs,Śląsk,POL,2012
85,Play-offs,Sochaux,FRA,2012
86,Play-offs,Sparta Praha,CZE,2012
87,Play-offs,Spartak Moskva,RUS,2012
88,Play-offs,Spartak Trnava,SVK,2012
89,Play-offs,Thun,SUI,2012
90,Play-offs,Vitória SC,POR,2012
91,Play-offs,Young Boys,SUI,2012
92,Play-offs,Zestafoni,GEO,2012
93,Third qualifying round,Aktobe,KAZ,2012
94,Third qualifying round,Anorthosis,CYP,2012
95,Third qualifying round,Bnei Yehuda,ISR,2012
96,Third qualifying round,Brøndby,DEN,2012
97,Third qualifying round,Den Haag,NED,2012
98,Third qualifying round,Elfsborg,SWE,2012
99,Third qualifying round,Gaziantepspor,TUR,2012
100,Third qualifying round,Gomel,BLR,2012
101,Third qualifying round,Häcken,SWE,2012
102,Third qualifying round,Hajduk Split,CRO,2012
103,Third qualifying round,Jablonec,CZE,2012
104,Third qualifying round,KR Reykjavik,ISL,2012
105,Third qualifying round,Levski,BUL,2012
106,Third qualifying round,Lokomotiv Sofia,BUL,2012
107,Third qualifying round,Mainz,GER,2012
108,Third qualifying round,Metalurgi Rustavi,GEO,2012
109,Third qualifying round,Midtjylland,DEN,2012
110,Third qualifying round,Mladá Boleslav,CZE,2012
111,Third qualifying round,Olimpija Ljubljana,SVN,2012
112,Third qualifying round,Olympiacos Volou,GRE,2012
113,Third qualifying round,Paks,HUN,2012
114,Third qualifying round,Palermo,ITA,2012
115,Third qualifying round,Qarabağ,AZE,2012
116,Third qualifying round,Sarajevo,BIH,2012
117,Third qualifying round,Senica,SVK,2012
118,Third qualifying round,Sligo,IRL,2012
119,Third qualifying round,Split,CRO,2012
120,Third qualifying round,St Patrick's,IRL,2012
121,Third qualifying round,Strømsgodset,NOR,2012
122,Third qualifying round,Vaduz,LIE,2012
123,Third qualifying round,Vålerenga,NOR,2012
124,Third qualifying round,Varaždin,CRO,2012
125,Third qualifying round,Ventspils,LVA,2012
126,Third qualifying round,Westerlo,BEL,2012
127,Third qualifying round,Željezničar,BIH,2012
128,Second qualifying round,Bohemians,IRL,2012
129,Second qualifying round,Crusaders,NIR,2012
130,Second qualifying round,Domžale,SVN,2012
131,Second qualifying round,Dundee United,SCO,2012
132,Second qualifying round,EB/Streymur,FRO,2012
133,Second qualifying round,Ferencváros,HUN,2012
134,Second qualifying round,FH,ISL,2012
135,Second qualifying round,Flamurtari,ALB,2012
136,Second qualifying round,Floriana,MLT,2012
137,Second qualifying round,Gagra,GEO,2012
138,Second qualifying round,Glentoran,NIR,2012
139,Second qualifying round,Honka,FIN,2012
140,Second qualifying round,Irtysh,KAZ,2012
141,Second qualifying round,Iskra-Stal,MDA,2012
142,Second qualifying round,Juvenes/Dogana,SMR,2012
143,Second qualifying round,Kecskemét,HUN,2012
144,Second qualifying round,KuPS,FIN,2012
145,Second qualifying round,Levadia,EST,2012
146,Second qualifying round,Liepājas Metalurgs,LVA,2012
147,Second qualifying round,Llanelli,WAL,2012
148,Second qualifying round,Metalurg Skopje,MKD,2012
149,Second qualifying round,Mika,ARM,2012
150,Second qualifying round,Minsk,BLR,2012
151,Second qualifying round,Örebro,SWE,2012
152,Second qualifying round,Rad,SRB,2012
153,Second qualifying round,Rudar Pljevlja,MNE,2012
154,Second qualifying round,Sant Julià,AND,2012
155,Second qualifying round,Shakhter,KAZ,2012
156,Second qualifying round,Shakhtyor,BLR,2012
157,Second qualifying round,Sheriff,MDA,2012
158,Second qualifying round,Sūduva,LTU,2012
159,Second qualifying round,Tauras,LTU,2012
160,Second qualifying round,Tirana,ALB,2012
161,Second qualifying round,TNS,WAL,2012
162,Second qualifying round,TPS,FIN,2012
163,Second qualifying round,Tromsø,NOR,2012
164,Second qualifying round,Vllaznia,ALB,2012
165,Second qualifying round,Vojvodina,SRB,2012
166,Second qualifying round,Xäzär Länkäran,AZE,2012
167,Second qualifying round,Žilina,SVK,2012
168,First qualifying round,Banga,LTU,2012
169,First qualifying round,Birkirkara,MLT,2012
170,First qualifying round,Budućnost Podgorica,MNE,2012
171,First qualifying round,Cliftonville,NIR,2012
172,First qualifying round,Daugava Daugavpils,LVA,2012
173,First qualifying round,Fola,LUX,2012
